"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 02:49:51 UTC 2024","Sat Feb 24 02:50:10 UTC 2024","19250","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sat Feb 24 02:45:29 UTC 2024","Sat Feb 24 02:45:34 UTC 2024","5142","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Sat Feb 24 03:54:22 UTC 2024","Sat Feb 24 03:54:25 UTC 2024","2783","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sat Feb 24 02:34:56 UTC 2024","Sat Feb 24 02:35:15 UTC 2024","19433","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Feb 24 02:49:10 UTC 2024","Sat Feb 24 02:49:18 UTC 2024","8334","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sat Feb 24 04:14:26 UTC 2024","Sat Feb 24 04:14:28 UTC 2024","1818","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sat Feb 24 04:07:39 UTC 2024","Sat Feb 24 04:07:39 UTC 2024","320","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sat Feb 24 03:12:52 UTC 2024","Sat Feb 24 03:13:18 UTC 2024","25823","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sat Feb 24 03:15:52 UTC 2024","Sat Feb 24 03:15:54 UTC 2024","2087","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sat Feb 24 03:54:08 UTC 2024","Sat Feb 24 03:54:12 UTC 2024","3955","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sat Feb 24 02:52:39 UTC 2024","Sat Feb 24 02:52:41 UTC 2024","2229","","6. Company Account","","","","6. Review Review Page",""
"passed","Sat Feb 24 02:36:45 UTC 2024","Sat Feb 24 02:36:45 UTC 2024","238","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sat Feb 24 02:43:17 UTC 2024","Sat Feb 24 02:43:23 UTC 2024","5918","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Feb 24 03:12:26 UTC 2024","Sat Feb 24 03:12:40 UTC 2024","13903","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat Feb 24 03:48:29 UTC 2024","Sat Feb 24 03:48:31 UTC 2024","1722","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sat Feb 24 02:30:48 UTC 2024","Sat Feb 24 02:31:51 UTC 2024","62365","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sat Feb 24 03:51:30 UTC 2024","Sat Feb 24 03:52:13 UTC 2024","43108","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sat Feb 24 02:39:17 UTC 2024","Sat Feb 24 02:39:24 UTC 2024","7051","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Feb 24 02:38:53 UTC 2024","Sat Feb 24 02:38:58 UTC 2024","4612","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Feb 24 02:52:54 UTC 2024","Sat Feb 24 02:52:55 UTC 2024","367","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Feb 24 02:50:12 UTC 2024","Sat Feb 24 02:50:13 UTC 2024","437","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Feb 24 04:11:12 UTC 2024","Sat Feb 24 04:11:26 UTC 2024","14555","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"skipped","Sat Feb 24 04:22:48 UTC 2024","Sat Feb 24 04:22:48 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sat Feb 24 03:12:40 UTC 2024","Sat Feb 24 03:12:41 UTC 2024","260","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sat Feb 24 02:45:27 UTC 2024","Sat Feb 24 02:45:29 UTC 2024","1663","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sat Feb 24 04:11:27 UTC 2024","Sat Feb 24 04:11:33 UTC 2024","6588","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Sat Feb 24 03:12:41 UTC 2024","Sat Feb 24 03:12:52 UTC 2024","10970","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Feb 24 02:49:23 UTC 2024","Sat Feb 24 02:49:34 UTC 2024","10627","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sat Feb 24 04:15:08 UTC 2024","Sat Feb 24 04:16:12 UTC 2024","64321","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
